userid,cluster1,cluster2,new_cluster,city,country
143080,20,0,A3,Uruguay,UY
48345,20,0,A3,Pichincha,EC
122182,20,0,A3,,
186267,20,0,A3,Carchi,EC
250009,20,0,A3,Ecuador,EC
122119,20,0,A3,,
63957,20,0,A3,Panamá Oeste,PA
146287,20,0,A3,Loja,EC
131657,20,0,A3,,
47350,20,0,A3,Panamá Oeste,PA
43557,20,0,A3,Manabí,EC
191086,20,0,A3,Guayas,EC
33496,20,0,A3,Bugaba,PA
135810,20,0,A3,Esmeraldas,EC
259829,20,0,A3,Manabí,EC
46126,20,0,A3,,
259087,20,0,A3,Los Ríos,EC
337602,20,0,A3,El Oro,EC
481133,20,0,A3,Santa Elena,EC
35176,20,0,A3,Chimborazo,EC
272193,20,0,A3,Pichincha,EC
126214,20,0,A3,Santa Elena,EC
123750,20,0,A3,Pichincha,EC
45142,20,0,A3,Morona Santiago,EC
75463,20,0,A3,Imbabura,EC
132571,20,0,A3,Azuay,EC
169245,20,0,A3,Pichincha,EC
85302,20,0,A3,Cotopaxi,EC
1327735,20,0,A3,,
165401,20,0,A3,Loja,EC
201257,20,0,A3,Santo Domingo De Los Tsáchilas,EC
271984,20,0,A3,Pichincha,EC
177515,20,0,A3,,
1260047,20,0,A3,,
80259,20,0,A3,,
123708,20,0,A3,Pichincha,EC
100430,20,0,A3,Pichincha,EC
140099,20,0,A3,Pichincha,EC
195735,20,0,A3,Morona Santiago,EC
14149,20,0,A3,,
190121,20,0,A3,Escuintla,GT
183731,20,0,A3,Azuay,EC
186637,20,2,A5,Celaya,MX
204544,20,2,A5,Yucatán,MX
260846,20,0,A3,Mérida,MX
98555,20,0,A3,El Oro,EC
213093,20,0,A3,Esmeraldas,EC
1422398,20,0,A3,José Narciso Rovirosa,MX
56040,20,0,A3,Canelones,UY
